date,heatindex_max,heatindex_min,heatindex_mea,heatwave_has,heatwaveduration_sum,heatwaveintensity_ind,coldwave_has,coldwaveduration_sum,coldwaveintensity_ind,spi_ind,elnino_ind
2023-02-10,30.76432030627558,19.8,22.803457439021482,0,0,0.0,0,0,0.0,-0.7237985554913402,-0.43
2023-02-11,25.500000000000004,19.400000000000002,21.233333333333334,0,0,0.0,0,0,0.0,-0.894169060981817,-0.43
2023-02-12,29.197461130764566,19.700000000000003,21.951303535239543,0,0,0.0,0,0,0.0,0.07847537347709177,-0.43
2023-02-13,30.612699339224456,18.7,22.723031970923888,0,0,0.0,0,0,0.0,0.05781073327083272,-0.43
2023-02-14,31.700113840417824,19.2,23.807902812882414,0,0,0.0,0,0,0.0,-1.132390200478286,-0.43
2023-02-15,32.361347263777766,19.700000000000003,24.13030115085427,0,0,0.0,0,0,0.0,-0.7576159344490639,-0.43
2023-02-16,31.731770999191188,21.000000000000007,23.926156743122505,0,0,0.0,0,0,0.0,-0.7576159344490639,-0.43
2023-02-17,29.792110420444416,19.8,23.918246530710096,0,0,0.0,0,0,0.0,-0.004453531017160537,-0.43
2023-02-18,24.8,18.9,21.74166666666667,0,0,0.0,0,0,0.0,0.3180080062703351,-0.43
2023-02-19,19.499999999999996,17.600000000000005,18.304166666666667,0,0,0.0,0,0,0.0,0.21680682477381627,-0.43
2023-02-20,30.580083820284504,17.7,21.201471708227782,0,0,0.0,0,0,0.0,0.3481632503866158,-0.43
2023-02-21,29.21377016111115,19.2,22.367048499349256,0,0,0.0,0,0,0.0,1.4984986472004407,-0.43
2023-02-22,25.0,19.0,21.070833333333336,0,0,0.0,0,0,0.0,1.3041909356842651,-0.43
2023-02-23,28.581894394204426,18.9,21.439200446597038,0,0,0.0,0,0,0.0,1.3950187244365158,-0.43
2023-02-24,30.29429897077119,19.8,24.014317945558613,0,0,0.0,0,0,0.0,1.399539299454299,-0.43
2023-02-25,31.6715869028178,20.2,24.8681764304375,0,0,0.0,0,0,0.0,1.4266215525814152,-0.43
